City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Severo-Kurilsk,RU,2022-01-29 15:33:29,50.6789,156.125,23.36,68,100,20.69
158,Georgetown,MY,2022-01-29 15:29:52,5.4112,100.3354,84.15,78,20,6.91
159,Hermanus,ZA,2022-01-29 15:33:29,-34.4187,19.2345,87.91,55,0,23.31
160,Novomalorossiyskaya,RU,2022-01-29 15:33:30,45.6348,39.8948,35.08,95,100,11.48
161,Oistins,BB,2022-01-29 15:33:30,13.0667,-59.5333,82.49,61,40,19.57
162,Devonport,AU,2022-01-29 15:33:30,-41.1667,146.35,62.02,84,67,7.07
163,Strai,NO,2022-01-29 15:33:31,58.2,7.9,45.19,74,40,1.01
164,New Norfolk,AU,2022-01-29 15:33:31,-42.7826,147.0587,61.92,97,27,0.78
165,Paracuru,BR,2022-01-29 15:33:32,-3.41,-39.0306,84.11,58,98,8.61
166,Port Elizabeth,ZA,2022-01-29 15:33:32,-33.918,25.5701,79.11,64,20,12.66
167,Adrar,MR,2022-01-29 15:33:33,20.5022,-10.0711,87.37,9,100,13.49
168,Makakilo City,US,2022-01-29 15:33:33,21.3469,-158.0858,72.28,76,0,4.61
169,Codrington,AU,2022-01-29 15:33:27,-38.2667,141.9667,63.14,80,86,9.04
170,Seymchan,RU,2022-01-29 15:33:34,62.8833,152.4333,-14.93,97,96,3.78
171,Mukhen,RU,2022-01-29 15:33:34,48.1,136.1,-16.83,99,92,3.89
172,Novotroitskaya,RU,2022-01-29 15:33:34,45.3267,41.5253,37.35,89,98,10.65
173,Svetlaya,RU,2022-01-29 15:31:00,46.5389,138.3297,-1.44,77,14,9.35
174,Dosso,NE,2022-01-29 15:33:35,13.049,3.1937,89.19,9,4,15.03
175,Vestmannaeyjar,IS,2022-01-29 15:33:35,63.4427,-20.2734,31.19,64,0,2.3
176,Saint-Augustin,CA,2022-01-29 15:33:36,51.226,-58.6502,1.47,72,87,9.89
177,Barrow,US,2022-01-29 15:30:32,71.2906,-156.7887,-9.38,70,40,11.5
178,Gao,ML,2022-01-29 15:33:36,16.6362,1.637,84.85,8,11,14.92
179,Bredasdorp,ZA,2022-01-29 15:31:15,-34.5322,20.0403,79.29,57,0,16.11
180,Haines Junction,CA,2022-01-29 15:32:59,60.7522,-137.5108,13.95,67,100,10.36
181,Cidreira,BR,2022-01-29 15:34:37,-30.1811,-50.2056,74.64,58,42,12.17
182,Saint-Francois,FR,2022-01-29 15:34:38,46.4154,3.9054,39.67,100,100,4.61
183,Talaya,RU,2022-01-29 15:34:38,61.3833,152.75,-11.81,99,100,3.78
184,Bongandanga,CD,2022-01-29 15:34:38,1.5,21.05,93.15,21,58,2.73
185,Axim,GH,2022-01-29 15:34:39,4.8699,-2.2405,86.76,56,98,12.1
186,Selizharovo,RU,2022-01-29 15:34:39,56.8519,33.4487,20.14,91,100,5.17
187,Okmulgee,US,2022-01-29 15:34:40,35.6234,-95.9605,41.72,60,0,5.75
188,Dukat,RU,2022-01-29 15:34:40,62.55,155.55,1.51,96,100,4.27
189,Aasiaat,GL,2022-01-29 15:34:41,68.7098,-52.8699,7.07,92,100,13.85
190,Turukhansk,RU,2022-01-29 15:34:41,65.8167,87.9833,2.08,95,100,10.49
191,Taoudenni,ML,2022-01-29 15:34:41,22.6783,-3.9836,80.31,11,100,15.86
192,Viedma,AR,2022-01-29 15:34:42,-40.8135,-62.9967,95.14,23,0,14.61
193,Lensk,RU,2022-01-29 15:30:39,60.7253,114.9278,-4.9,96,100,7.09
194,Hamilton,US,2022-01-29 15:34:43,39.1834,-84.5333,19.24,79,20,1.01
195,Cherskiy,RU,2022-01-29 15:34:43,68.75,161.3,-21.08,100,83,2.3
196,Erenhot,CN,2022-01-29 15:34:43,43.6475,111.9767,5.27,87,99,8.72
197,Puerto Escondido,MX,2022-01-29 15:34:44,15.85,-97.0667,79.63,78,0,3.44
198,Turbat,PK,2022-01-29 15:34:44,26.0023,63.044,72.27,48,0,6.38
199,Tazovskiy,RU,2022-01-29 15:34:45,67.4667,78.7,-15.99,100,78,6.31
200,Bumba,CD,2022-01-29 15:34:45,2.1833,22.4667,89.96,27,16,2.71
201,Houma,US,2022-01-29 15:34:45,29.5958,-90.7195,42.01,46,0,11.5
202,Filadelfia,US,2022-01-29 15:34:36,39.9523,-75.1638,21.45,88,100,7.0
203,Russell,US,2022-01-29 15:34:46,32.3502,-85.1999,34.88,42,0,13.8
204,Tete,MZ,2022-01-29 15:34:46,-16.1564,33.5867,86.09,66,75,3.44
205,Nguruka,TZ,2022-01-29 15:34:47,-5.1092,31.0419,69.44,89,51,3.94
206,Den Helder,NL,2022-01-29 15:34:47,52.9599,4.7593,52.99,78,100,25.99
207,Lebu,CL,2022-01-29 15:34:47,-37.6167,-73.65,65.19,72,1,9.42
208,Poum,NC,2022-01-29 15:34:48,-20.2333,164.0167,80.98,81,16,14.94
209,Honiara,SB,2022-01-29 15:32:51,-9.4333,159.95,78.04,85,100,3.15
210,Paamiut,GL,2022-01-29 15:34:49,61.994,-49.6678,18.97,66,100,23.24
211,Vao,NC,2022-01-29 15:34:21,-22.6667,167.4833,78.94,86,100,13.15
212,Heihe,CN,2022-01-29 15:34:50,50.2441,127.4902,5.58,98,100,4.94
213,Tainan,TW,2022-01-29 15:34:50,22.9908,120.2133,64.18,82,75,9.22
214,Phuket,TH,2022-01-29 15:34:51,8.0,98.25,87.1,78,20,8.05
215,Tuktoyaktuk,CA,2022-01-29 15:34:51,69.4541,-133.0374,-9.4,77,100,17.27
216,Lazaro Cardenas,MX,2022-01-29 15:34:48,17.9583,-102.2,80.17,62,1,0.98
217,Salalah,OM,2022-01-29 15:34:18,17.0151,54.0924,75.29,69,20,5.75
218,Aklavik,CA,2022-01-29 15:34:52,68.2191,-135.0107,-17.57,69,0,3.44
219,Tasiilaq,GL,2022-01-29 15:34:52,65.6145,-37.6368,15.96,71,65,4.65
220,Puyo,EC,2022-01-29 15:31:03,-1.4667,-77.9833,76.24,78,40,5.75
221,Kailua,US,2022-01-29 15:34:53,21.4022,-157.7394,73.74,76,100,11.5
222,Bluefields,NI,2022-01-29 15:34:53,12.0137,-83.7635,75.27,94,75,4.61
223,Manado,ID,2022-01-29 15:32:44,1.487,124.8455,77.77,94,20,1.14
224,Okhotsk,RU,2022-01-29 15:34:54,59.3833,143.3,13.91,80,100,14.99
225,Grindavik,IS,2022-01-29 15:34:54,63.8424,-22.4338,34.27,86,75,11.5
226,Leticia,CO,2022-01-29 15:30:11,-4.2153,-69.9406,86.05,79,75,3.44
227,Tokur,RU,2022-01-29 15:34:55,53.1333,132.9,-27.87,100,90,2.24
228,Mehamn,NO,2022-01-29 15:35:55,71.0357,27.8492,24.94,64,79,8.77
229,Palmerston,AU,2022-01-29 15:35:56,-12.486,130.9833,78.78,94,75,14.97
230,Caucaia,BR,2022-01-29 15:35:56,-3.7361,-38.6531,88.07,70,75,12.66
231,Bethel,US,2022-01-29 15:35:57,41.3712,-73.414,20.48,83,100,4.0
232,Hobart,AU,2022-01-29 15:35:29,-42.8794,147.3294,62.26,77,100,5.75
233,Xingcheng,CN,2022-01-29 15:35:57,40.6167,120.7167,20.7,65,0,1.9
234,Poronaysk,RU,2022-01-29 15:35:58,49.2167,143.1167,4.23,96,100,9.08
235,Tuatapere,NZ,2022-01-29 15:35:58,-46.1333,167.6833,56.75,85,100,4.09
236,Constitucion,CL,2022-01-29 15:34:00,-35.3333,-72.4167,67.77,69,13,9.46
237,Milkovo,RU,2022-01-29 15:35:59,54.7167,158.6167,14.76,97,100,0.34
238,Mozarlandia,BR,2022-01-29 15:35:59,-14.7447,-50.5706,80.53,78,82,12.08
239,Byron Bay,AU,2022-01-29 15:35:59,-28.65,153.6167,71.71,90,45,7.58
240,Port Lincoln,AU,2022-01-29 15:36:00,-34.7333,135.8667,64.42,84,11,13.65
241,Mayo,US,2022-01-29 15:36:00,38.8876,-76.5119,26.13,65,40,11.01
242,Champerico,GT,2022-01-29 15:31:54,14.3,-91.9167,87.76,61,0,2.01
