City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
612,612,Vondrozo,MG,2022-02-01 20:45:30,-22.8167,47.2833,65.75,95,0,2.8,light rain
615,615,Asyut,EG,2022-02-01 20:45:31,27.181,31.1837,57.38,46,0,1.57,clear sky
616,616,Porterville,US,2022-02-01 20:45:32,36.0652,-119.0168,57.67,81,100,8.05,haze
623,623,Araouane,ML,2022-02-01 20:45:34,18.9048,-3.5265,72.1,12,79,10.29,broken clouds
626,626,Chicama,PE,2022-02-01 20:45:36,-7.8447,-79.1469,66.74,57,53,12.3,broken clouds
627,627,San Quintin,MX,2022-02-01 20:45:36,30.4833,-115.95,61.56,65,58,12.03,broken clouds
630,630,Kiunga,PG,2022-02-01 20:45:37,-6.1219,141.2906,71.31,98,100,0.6,overcast clouds
633,633,Veraval,IN,2022-02-01 20:45:38,20.9,70.3667,69.84,74,2,6.78,clear sky
635,635,Davila,PH,2022-02-01 20:46:39,18.4726,120.5763,73.58,80,14,12.15,few clouds
637,637,Koudougou,BF,2022-02-01 20:46:40,12.25,-2.3667,75.0,9,41,9.91,scattered clouds
639,639,Dalbandin,PK,2022-02-01 20:46:41,28.8947,64.4101,59.72,23,2,3.49,clear sky
644,644,Areado,BR,2022-02-01 20:46:43,-21.3586,-46.1456,69.6,92,100,4.68,overcast clouds
647,647,Malanje,AO,2022-02-01 20:46:44,-9.5402,16.341,64.81,87,60,4.14,broken clouds
651,651,Padang,ID,2022-02-01 20:46:46,-0.9492,100.3543,75.96,87,100,3.42,heavy intensity rain
657,657,Nortelandia,BR,2022-02-01 20:44:05,-14.4547,-56.8028,74.05,91,92,4.52,overcast clouds
659,659,Sampit,ID,2022-02-01 20:46:50,-2.5333,112.95,72.84,99,60,0.98,broken clouds
663,663,Camacha,PT,2022-02-01 20:46:51,33.0833,-16.3333,63.54,88,20,17.27,few clouds
664,664,Kimbe,PG,2022-02-01 20:46:52,-5.5502,150.1429,75.43,96,100,1.54,moderate rain
676,676,Dicabisagan,PH,2022-02-01 20:46:57,17.0818,122.4157,72.14,84,86,5.14,overcast clouds
677,677,Jiwani,PK,2022-02-01 20:46:57,25.05,61.7417,73.08,75,0,16.69,clear sky
679,679,Champasak,LA,2022-02-01 20:46:58,14.75,106.0,72.41,74,84,1.97,broken clouds
680,680,Teseney,ER,2022-02-01 20:46:58,15.11,36.6575,70.38,55,1,10.56,clear sky
681,681,Hartselle,US,2022-02-01 20:46:59,34.4434,-86.9353,65.52,48,1,11.68,clear sky
685,685,Maldonado,UY,2022-02-01 20:43:59,-34.6667,-54.9167,74.59,46,0,9.86,clear sky
692,692,Opelousas,US,2022-02-01 20:48:03,30.5335,-92.0815,73.22,64,100,13.8,overcast clouds
698,698,Nabire,ID,2022-02-01 20:48:05,-3.3667,135.4833,74.07,91,100,3.15,overcast clouds
701,701,Prieska,ZA,2022-02-01 20:48:06,-29.6641,22.7474,68.54,86,100,3.76,overcast clouds
702,702,Praya,CV,2022-02-01 20:48:07,14.9215,-23.5087,75.74,69,98,12.66,overcast clouds
705,705,Ginir,ET,2022-02-01 20:48:08,7.1333,40.7,60.98,39,100,5.12,overcast clouds
707,707,Flinders,AU,2022-02-01 20:48:09,-34.5833,150.8552,70.21,89,100,11.01,light rain
709,709,Collie,AU,2022-02-01 20:48:10,-33.3667,116.15,56.98,74,52,12.93,broken clouds
717,717,Hirara,JP,2022-02-01 20:48:14,24.8,125.2833,68.94,69,73,19.08,broken clouds
718,718,Redlands,US,2022-02-01 20:44:14,34.0556,-117.1825,63.1,59,40,0.0,scattered clouds
729,729,Dicamay,PH,2022-02-01 20:49:19,16.7561,122.0037,65.57,94,24,2.46,few clouds
735,735,Moree,AU,2022-02-01 20:49:21,-29.4667,149.85,75.22,88,100,5.75,overcast clouds
739,739,Thohoyandou,ZA,2022-02-01 20:49:22,-22.9456,30.485,68.07,80,0,2.46,clear sky
743,743,Taungdwingyi,MM,2022-02-01 20:49:23,20.0167,95.55,57.45,37,10,5.84,clear sky
746,746,Sibu,MY,2022-02-01 20:49:25,2.3,111.8167,73.71,100,40,0.0,scattered clouds
747,747,Knysna,ZA,2022-02-01 20:49:25,-34.0363,23.0471,70.18,82,35,2.95,scattered clouds
749,749,Mwene-Ditu,CD,2022-02-01 20:49:26,-7.0,23.45,66.49,95,100,0.83,overcast clouds
750,750,El Prat De Llobregat,ES,2022-02-01 20:49:26,41.3278,2.0947,56.73,55,0,1.14,clear sky
751,751,Codrington,AU,2022-02-01 20:49:27,-38.2667,141.9667,57.72,53,54,12.62,broken clouds
752,752,Bandar-E Lengeh,IR,2022-02-01 20:49:27,26.5579,54.8807,69.13,71,0,17.38,clear sky
755,755,Viru,PE,2022-02-01 20:49:29,-8.4167,-78.75,67.3,54,58,11.9,broken clouds
758,758,Scottsboro,US,2022-02-01 20:49:30,34.6723,-86.0341,65.12,31,0,11.5,clear sky
759,759,Abonnema,NG,2022-02-01 20:49:30,4.7084,6.7931,75.49,66,38,8.05,scattered clouds
760,760,Teguise,ES,2022-02-01 20:49:31,29.0605,-13.564,68.22,33,0,6.91,clear sky
763,763,Willowmore,ZA,2022-02-01 20:49:32,-33.2926,23.4895,74.34,70,100,3.96,overcast clouds
765,765,Diffa,NE,2022-02-01 20:49:33,13.3154,12.6113,62.83,20,1,6.76,clear sky
766,766,Tambopata,PE,2022-02-01 20:49:33,-12.7333,-69.1833,73.29,94,75,3.44,broken clouds
778,778,Ixtlahuacan Del Rio,MX,2022-02-01 20:50:38,20.8667,-103.25,75.27,15,0,10.27,clear sky
779,779,Adrar,MR,2022-02-01 20:50:38,20.5022,-10.0711,74.66,15,98,10.22,overcast clouds
789,789,Vryburg,ZA,2022-02-01 20:50:43,-26.9566,24.7284,71.74,67,53,4.05,broken clouds
791,791,Victor Harbor,AU,2022-02-01 20:50:44,-35.5667,138.6167,61.0,62,80,3.0,broken clouds
792,792,Gorontalo,ID,2022-02-01 20:50:44,0.5412,123.0595,73.17,93,86,3.83,overcast clouds
793,793,Forbes,AU,2022-02-01 20:50:44,-33.3833,148.0167,69.93,58,100,10.27,light rain
794,794,Madison,US,2022-02-01 20:48:30,34.7334,-86.5667,64.71,34,0,3.0,clear sky
801,801,Rabo De Peixe,PT,2022-02-01 20:50:47,37.8,-25.5833,57.27,95,20,6.91,few clouds
805,805,Nkhotakota,MW,2022-02-01 20:50:49,-12.9274,34.2961,74.25,82,30,2.75,light rain
806,806,Komatipoort,ZA,2022-02-01 20:50:49,-25.4332,31.9548,75.06,94,0,1.83,clear sky
813,813,Khash,IR,2022-02-01 20:50:52,28.2211,61.2158,56.41,40,0,16.55,clear sky
815,815,Jalu,LY,2022-02-01 20:50:53,29.0331,21.5482,58.01,34,91,13.13,overcast clouds
816,816,Abu Zabad,SD,2022-02-01 20:50:53,12.35,29.25,64.0,19,8,10.2,clear sky
818,818,Popondetta,PG,2022-02-01 20:50:54,-8.7537,148.2534,74.84,93,100,2.15,overcast clouds
824,824,Mildura,AU,2022-02-01 20:50:32,-34.2,142.15,55.36,67,1,8.05,clear sky
829,829,Fortuna Foothills,US,2022-02-01 20:51:58,32.6578,-114.4119,74.21,13,0,3.0,clear sky
830,830,Benghazi,LY,2022-02-01 20:51:58,32.1167,20.0667,57.54,67,89,25.1,overcast clouds
844,844,Mutoko,ZW,2022-02-01 20:52:03,-17.397,32.2268,63.66,89,0,2.82,clear sky
846,846,Ngunguru,NZ,2022-02-01 20:52:04,-35.6167,174.5,73.17,80,100,17.72,overcast clouds
853,853,Kawalu,ID,2022-02-01 20:52:07,-7.3817,108.2082,72.88,94,97,2.42,overcast clouds
856,856,Madisonville,US,2022-02-01 20:49:57,37.3281,-87.4989,65.01,55,25,12.39,scattered clouds
858,858,Tabuk,PH,2022-02-01 20:52:09,17.4189,121.4443,68.68,89,92,2.35,overcast clouds
862,862,Bullhead City,US,2022-02-01 20:52:10,35.1478,-114.5683,64.72,20,100,25.32,overcast clouds
866,866,Odweyne,SO,2022-02-01 20:52:12,9.4092,45.064,65.66,66,100,10.85,overcast clouds
868,868,Sompeta,IN,2022-02-01 20:52:13,18.9333,84.6,69.13,79,3,5.84,clear sky
871,871,Demba,CD,2022-02-01 20:53:14,-5.51,22.2667,70.39,83,81,2.55,broken clouds
872,872,Giraldo,CO,2022-02-01 20:53:14,6.6831,-75.9892,72.84,56,38,4.63,scattered clouds
875,875,Ishigaki,JP,2022-02-01 20:53:15,24.3448,124.1572,69.58,73,100,17.45,overcast clouds
877,877,Cove,BJ,2022-02-01 20:53:16,7.221,2.3402,75.45,33,2,4.74,clear sky
