City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
99,Lakselv,NO,2022-02-01 20:31:09,70.0513,24.9718,10.22,66,0,27.63,clear sky
100,Hilo,US,2022-02-01 20:31:09,19.7297,-155.09,78.24,78,20,10.36,light rain
101,Quatre Cocos,MU,2022-02-01 20:31:09,-20.2078,57.7625,79.09,92,100,30.04,moderate rain
102,Nome,US,2022-02-01 20:31:05,64.5011,-165.4064,21.27,53,0,27.63,clear sky
103,Albany,US,2022-02-01 20:31:10,42.6001,-73.9662,35.62,51,42,1.99,scattered clouds
104,Tiksi,RU,2022-02-01 20:31:10,71.6872,128.8694,-13.72,99,100,4.5,overcast clouds
105,Gamba,GA,2022-02-01 20:31:11,-2.65,10.0,78.21,87,42,4.76,light rain
106,Luderitz,NA,2022-02-01 20:31:11,-26.6481,15.1594,64.96,88,43,4.97,scattered clouds
107,Baruun-Urt,MN,2022-02-01 20:31:12,46.6806,113.2792,-11.7,93,5,4.85,clear sky
108,Iqaluit,CA,2022-02-01 20:31:12,63.7506,-68.5145,-14.31,75,100,5.99,light snow
109,College,US,2022-02-01 20:31:12,64.8569,-147.8028,-0.74,72,20,0.0,few clouds
110,Fortuna,US,2022-02-01 20:27:11,40.5982,-124.1573,51.93,56,0,11.01,clear sky
111,Severo-Kurilsk,RU,2022-02-01 20:31:13,50.6789,156.125,26.85,79,78,10.54,broken clouds
112,Inongo,CD,2022-02-01 20:31:14,-1.95,18.2667,79.63,63,93,7.25,overcast clouds
113,Necochea,AR,2022-02-01 20:27:38,-38.5473,-58.7368,76.03,47,6,13.15,clear sky
114,Goderich,CA,2022-02-01 20:30:08,43.7501,-81.7165,40.91,52,100,17.27,overcast clouds
115,Talnakh,RU,2022-02-01 20:31:14,69.4865,88.3972,4.21,96,100,8.88,light snow
116,Cidreira,BR,2022-02-01 20:31:15,-30.1811,-50.2056,74.32,67,8,9.28,clear sky
117,Salalah,OM,2022-02-01 20:30:13,17.0151,54.0924,69.89,60,0,5.75,clear sky
118,Sinnamary,GF,2022-02-01 20:31:15,5.3833,-52.95,77.97,85,99,13.56,overcast clouds
119,Ganganagar,IN,2022-02-01 20:31:16,29.9167,73.8833,52.93,48,0,4.12,clear sky
120,Aljezur,PT,2022-02-01 20:28:40,37.3191,-8.8033,52.18,67,0,3.15,clear sky
121,Sapouy,BF,2022-02-01 20:31:16,11.5544,-1.7736,71.04,10,50,7.09,scattered clouds
122,Souillac,MU,2022-02-01 20:31:17,-20.5167,57.5167,79.36,94,75,19.57,light intensity shower rain
123,Bourges,FR,2022-02-01 20:31:18,47.25,2.4167,48.52,97,100,12.53,overcast clouds
124,Nishihara,JP,2022-02-01 20:31:18,26.1842,127.7558,61.88,94,100,8.05,mist
125,Teya,RU,2022-02-01 20:31:18,60.3778,92.6267,-0.63,99,97,3.94,overcast clouds
126,Makakilo City,US,2022-02-01 20:31:19,21.3469,-158.0858,77.68,60,75,5.75,broken clouds
127,Freeport,US,2022-02-01 20:31:19,40.6576,-73.5832,38.5,61,75,1.99,broken clouds
128,Wanxian,CN,2022-02-01 20:31:20,30.8039,108.3897,43.05,93,100,4.5,moderate rain
129,Hamilton,US,2022-02-01 20:31:21,39.1834,-84.5333,61.65,38,0,17.27,clear sky
130,Balikpapan,ID,2022-02-01 20:31:21,-1.2675,116.8289,76.19,100,20,2.3,light rain
131,Georgetown,MY,2022-02-01 20:27:50,5.4112,100.3354,82.33,86,20,1.01,few clouds
132,Pevek,RU,2022-02-01 20:27:31,69.7008,170.3133,-13.92,90,98,2.21,overcast clouds
133,Mount Isa,AU,2022-02-01 20:31:22,-20.7333,139.5,76.77,100,40,4.61,scattered clouds
134,Baoqing,CN,2022-02-01 20:32:22,46.3317,132.2111,-4.25,93,48,6.6,scattered clouds
135,Camaguey,CU,2022-02-01 20:32:23,21.3808,-77.9169,73.74,83,75,13.8,broken clouds
136,Arman,RU,2022-02-01 20:32:13,59.7,150.1667,-1.5,80,37,11.83,scattered clouds
137,Chateaubelair,VC,2022-02-01 20:32:23,13.2833,-61.25,83.28,78,40,5.75,scattered clouds
138,Wanning,CN,2022-02-01 20:32:24,18.8003,110.3967,68.13,92,96,6.22,overcast clouds
139,Busselton,AU,2022-02-01 20:32:24,-33.65,115.3333,60.04,67,21,18.28,few clouds
140,Ust-Nera,RU,2022-02-01 20:32:24,64.5667,143.2,-2.16,99,100,5.06,light snow
141,Bethel,US,2022-02-01 20:32:25,41.3712,-73.414,36.48,61,0,6.91,clear sky
142,Yalta,UA,2022-02-01 20:32:25,44.5,34.1667,42.62,86,100,3.85,overcast clouds
143,Hithadhoo,MV,2022-02-01 20:32:26,-0.6,73.0833,82.45,72,5,11.39,clear sky
144,Hay River,CA,2022-02-01 20:29:15,60.8156,-115.7999,-20.22,63,0,11.5,clear sky
145,Chokurdakh,RU,2022-02-01 20:32:26,70.6333,147.9167,-18.54,97,100,3.56,overcast clouds
146,Celestun,MX,2022-02-01 20:32:27,20.8667,-90.4,81.16,57,1,8.19,clear sky
147,Verkhoyansk,RU,2022-02-01 20:28:23,67.5447,133.385,-16.94,97,100,0.51,overcast clouds
148,Hualmay,PE,2022-02-01 20:32:27,-11.0964,-77.6139,74.79,72,37,10.94,scattered clouds
149,Abu Samrah,SY,2022-02-01 20:32:28,35.3029,37.1841,50.31,71,100,3.49,overcast clouds
150,Victoria,HK,2022-02-01 20:28:02,22.2855,114.1577,61.25,91,100,4.0,overcast clouds
151,Coria,ES,2022-02-01 20:32:28,39.9879,-6.5377,46.72,74,0,3.87,clear sky
152,Miyako,JP,2022-02-01 20:32:29,39.6367,141.9525,28.45,70,23,3.85,few clouds
153,Pringsewu,ID,2022-02-01 20:32:29,-5.3582,104.9744,72.37,97,100,2.37,light rain
154,Fort-Shevchenko,KZ,2022-02-01 20:32:30,44.5086,50.263,36.39,90,3,8.99,clear sky
155,Raahe,FI,2022-02-01 20:32:30,64.6833,24.4833,17.69,94,100,7.99,overcast clouds
156,Mykhaylivka,UA,2022-02-01 20:32:31,47.2724,35.2224,34.07,92,100,7.09,overcast clouds
157,Port Hardy,CA,2022-02-01 20:30:09,50.6996,-127.4199,41.18,81,100,5.75,overcast clouds
158,Comodoro Rivadavia,AR,2022-02-01 20:28:31,-45.8667,-67.5,87.66,11,0,24.16,clear sky
159,Elsterwerda,DE,2022-02-01 20:32:31,51.45,13.5333,42.66,87,100,20.65,overcast clouds
160,Narsaq,GL,2022-02-01 20:32:32,60.9167,-46.05,17.82,86,63,3.49,broken clouds
161,Balkanabat,TM,2022-02-01 20:32:32,39.5108,54.3671,45.88,68,23,7.61,few clouds
162,Santa Cruz,BO,2022-02-01 20:28:39,-17.8,-63.1667,89.65,51,40,4.61,scattered clouds
163,Arraial Do Cabo,BR,2022-02-01 20:29:53,-22.9661,-42.0278,78.76,89,75,9.22,broken clouds
164,Rawah,IQ,2022-02-01 20:32:33,34.4816,41.9093,49.08,64,0,5.66,clear sky
165,Basco,PH,2022-02-01 20:32:33,20.4487,121.9702,73.71,75,96,17.09,overcast clouds
166,Silopi,TR,2022-02-01 20:32:34,37.2497,42.4694,39.47,61,0,4.68,clear sky
167,Andenes,NO,2022-02-01 20:32:34,69.3143,16.1194,26.58,54,0,14.97,clear sky
168,Port Blair,IN,2022-02-01 20:32:34,11.6667,92.75,74.66,73,19,3.71,few clouds
169,Kovdor,RU,2022-02-01 20:32:35,67.5662,30.4758,3.04,99,100,2.89,overcast clouds
170,The Valley,AI,2022-02-01 20:32:35,18.217,-63.0578,84.06,74,20,11.5,few clouds
171,Palma Del Rio,ES,2022-02-01 20:32:36,37.7002,-5.2812,55.38,61,0,4.45,clear sky
172,Bubaque,GW,2022-02-01 20:32:00,11.2833,-15.8333,78.64,79,4,14.81,clear sky
173,Mamakan,RU,2022-02-01 20:32:36,57.8161,114.0028,-9.22,99,100,1.28,overcast clouds
174,Mabaruma,GY,2022-02-01 20:32:37,8.2,-59.7833,80.64,72,18,6.15,few clouds
175,Kashi,CN,2022-02-01 20:32:37,39.4547,75.9797,25.81,39,56,11.18,broken clouds
176,Mazyr,BY,2022-02-01 20:32:37,52.0495,29.2456,22.57,92,100,8.5,overcast clouds
177,Kalyazin,RU,2022-02-01 20:32:38,57.2403,37.8433,28.02,96,100,9.64,overcast clouds
178,Mogadishu,SO,2022-02-01 20:32:38,2.0371,45.3438,78.19,88,100,19.3,overcast clouds
179,Te Anau,NZ,2022-02-01 20:32:39,-45.4167,167.7167,66.49,95,95,4.29,overcast clouds
180,Harper,LR,2022-02-01 20:33:39,4.375,-7.7169,79.45,79,49,6.22,scattered clouds
181,Saint-Philippe,RE,2022-02-01 20:33:40,-21.3585,55.7679,80.15,91,96,21.39,moderate rain
182,Ribeira Grande,PT,2022-02-01 20:33:40,38.5167,-28.7,61.2,77,20,19.57,few clouds
183,Vila Franca Do Campo,PT,2022-02-01 20:33:41,37.7167,-25.4333,59.2,79,84,11.12,broken clouds
184,Kpandae,GH,2022-02-01 20:33:41,8.4689,-0.0113,81.28,11,3,5.66,clear sky
185,Tshane,BW,2022-02-01 20:33:41,-24.0196,21.8684,74.07,66,50,10.25,scattered clouds
186,Washington,US,2022-02-01 20:33:08,47.5001,-120.5015,38.98,57,7,3.56,clear sky
187,Sao Joao Da Barra,BR,2022-02-01 20:29:23,-21.6403,-41.0511,86.09,82,92,5.08,overcast clouds
188,Faanui,PF,2022-02-01 20:33:42,-16.4833,-151.75,80.53,76,9,19.35,light rain
189,Ereymentau,KZ,2022-02-01 20:33:43,51.6199,73.1033,7.03,91,90,4.65,overcast clouds
190,Ponta Delgada,PT,2022-02-01 20:28:52,37.7333,-25.6667,59.5,77,20,6.91,few clouds
191,Morondava,MG,2022-02-01 20:31:05,-20.2833,44.2833,82.06,79,56,6.64,broken clouds
192,Chandler,US,2022-02-01 20:30:53,33.3062,-111.8412,68.95,26,75,0.0,broken clouds
193,Anjar,IN,2022-02-01 20:33:44,23.1333,70.0167,69.3,58,0,4.43,clear sky
194,Seoul,KR,2022-02-01 20:30:04,37.5683,126.9778,26.11,86,40,2.3,mist
195,Gondanglegi,ID,2022-02-01 20:33:44,-7.7479,112.0132,73.36,93,61,0.38,broken clouds
196,Kismayo,SO,2022-02-01 20:33:45,-0.3582,42.5454,78.55,86,100,14.94,overcast clouds
197,Kirakira,SB,2022-02-01 20:33:45,-10.4544,161.9205,81.25,81,79,3.58,light rain
198,Nchelenge,ZM,2022-02-01 20:33:45,-9.3451,28.734,70.23,85,97,7.36,light rain
199,Lavrentiya,RU,2022-02-01 20:33:46,65.5833,-171.0,-0.02,78,20,16.04,few clouds
200,Rustenburg,ZA,2022-02-01 20:33:46,-25.6676,27.2421,70.93,47,98,2.17,overcast clouds
201,Srednekolymsk,RU,2022-02-01 20:33:47,67.45,153.6833,-18.51,97,96,4.47,overcast clouds
202,Geraldton,AU,2022-02-01 20:33:41,-28.7667,114.6,84.61,26,41,21.85,scattered clouds
203,Chuy,UY,2022-02-01 20:33:47,-33.6971,-53.4616,71.35,51,0,9.57,clear sky
204,Upernavik,GL,2022-02-01 20:33:48,72.7868,-56.1549,-15.21,73,100,6.78,overcast clouds
